rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
78	MBD6	methyl-CpG binding domain protein 6	3056	12	0	1	6	2	2	2	12	11	12	1.671799e-04	1	3.010000e-01	9.169699e-04	2.217421e-01
79	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	2690	5	0	2	9	2	2	1	14	12	14	9.013618e-05	1	8.780000e-01	9.296816e-04	2.219703e-01
80	ACACB	acetyl-Coenzyme A carboxylase beta	7583	2	0	1	6	1	3	0	10	10	10	1.875233e-04	1	3.660000e-01	9.616384e-04	2.267303e-01
81	SNX16	sorting nexin 16	1063	3	0	0	3	0	1	1	5	5	4	2.638473e-03	3.300000e-02	5.760000e-01	9.747166e-04	2.269766e-01
82	MCRS1	microspherule protein 1	1492	5	0	0	6	2	0	0	8	8	8	1.046272e-04	1	5.720000e-01	1.063546e-03	2.446416e-01
83	RSBN1L	round spermatid basic protein 1-like	2571	12	1	1	5	0	0	0	5	5	3	9.081721e-01	1.200000e-04	9.968600e-01	1.103357e-03	2.507412e-01
84	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	3045	2	0	0	8	2	0	1	11	11	11	7.846041e-04	1	4.900000e-02	1.139803e-03	2.559401e-01
85	TAF7L	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa	1439	1	0	0	5	0	0	2	7	7	6	4.289633e-02	5.820000e-02	1.090000e-02	1.204353e-03	2.672530e-01
86	XPO4	exportin 4	3546	1	0	0	4	0	2	3	9	9	9	3.833692e-04	1	2.990000e-01	1.241312e-03	2.702126e-01
87	NIPBL	Nipped-B homolog (Drosophila)	8642	1	1	5	16	9	1	3	29	28	28	3.577896e-03	5.600000e-02	2.190000e-01	1.250434e-03	2.702126e-01
88	METTL7B	methyltransferase like 7B	739	14	0	0	4	0	0	0	4	4	4	9.511409e-02	1	2.428571e-04	1.260667e-03	2.702126e-01
89	SEC63	SEC63 homolog (S. cerevisiae)	2363	0	0	0	2	1	0	2	5	5	4	1.047837e-02	1.120000e-02	9.586000e-01	1.283246e-03	2.716203e-01
90	FOXP1	forkhead box P1	2267	5	5	0	6	4	4	1	15	13	14	1.217877e-03	2.030000e-01	3.430000e-01	1.296036e-03	2.716203e-01
91	SLC45A1	solute carrier family 45, member 1	2275	6	0	3	3	3	1	0	7	7	5	1.920303e-02	6.600000e-03	9.998000e-01	1.349829e-03	2.797854e-01
92	SUPT16H	suppressor of Ty 16 homolog (S. cerevisiae)	3317	4	0	0	10	0	2	1	13	11	12	4.778550e-03	9.100000e-02	1.340000e-01	1.412087e-03	2.884116e-01
93	LPCAT4	lysophosphatidylcholine acyltransferase 4	1629	7	0	0	2	2	0	0	4	4	4	1.444802e-04	1	7.900000e-01	1.422027e-03	2.884116e-01
94	ANKHD1	ankyrin repeat and KH domain containing 1	7865	7	2	1	13	2	1	4	20	20	20	1.480956e-04	1	6.060000e-01	1.453951e-03	2.917492e-01
95	COL17A1	collagen, type XVII, alpha 1	4714	3	0	1	11	1	3	0	15	14	15	5.198525e-04	1	2.280000e-01	1.527610e-03	3.033030e-01
96	DAP3	death associated protein 3	1424	8	1	2	4	0	4	1	9	9	6	2.194315e-02	1.100000e-02	2.140000e-01	1.560071e-03	3.065214e-01
97	DOCK11	dedicator of cytokinesis 11	6432	0	0	2	20	3	3	2	28	28	28	1.634368e-04	1	9.430000e-01	1.588456e-03	3.088810e-01
98	ZNF814	zinc finger protein 814	2576	0	0	6	20	0	0	1	21	18	14	9.971828e-01	9.000000e-05	9.691800e-01	1.727686e-03	3.267123e-01
99	CUL7	cullin 7	5796	2	1	1	9	2	3	1	15	15	15	1.795744e-04	1	7.300000e-01	1.728390e-03	3.267123e-01
100	SMG1	smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	11234	1	0	1	11	5	1	1	18	18	18	1.929768e-03	8.200000e-02	5.110000e-01	1.744110e-03	3.267123e-01
101	FASTKD2	FAST kinase domains 2	2194	2	0	0	5	0	0	3	8	8	6	1.311508e-01	8.500000e-04	4.653000e-01	1.763161e-03	3.267123e-01
102	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	3502	3	1	2	13	1	0	1	15	15	15	1.373356e-01	1	1.500000e-04	1.766762e-03	3.267123e-01
103	IL24	interleukin 24	646	16	0	1	3	0	4	1	8	7	7	1.876454e-04	1	6.910000e-01	1.797822e-03	3.287502e-01
104	AP4M1	adaptor-related protein complex 4, mu 1 subunit	2164	4	0	0	6	3	0	1	10	10	10	1.893732e-04	1	7.580000e-01	1.812640e-03	3.287502e-01
105	RGS11	regulator of G-protein signaling 11	1474	47	0	0	4	0	1	0	5	5	4	4.260155e-02	1.013000e-01	3.590000e-02	1.905374e-03	3.422778e-01
106	RPL5	ribosomal protein L5	926	49	1	0	3	0	3	1	7	7	7	2.136226e-04	1	9.060000e-01	2.019012e-03	3.592698e-01
107	DNAH12	dynein, axonemal, heavy chain 12	9554	3	0	5	16	0	0	1	17	17	17	1.000000e+00	4.382100e-01	7.000000e-05	2.072814e-03	3.653965e-01
108	MTA2	metastasis associated 1 family, member 2	2582	2	0	0	2	1	2	1	6	6	6	2.245643e-04	1	8.980000e-01	2.111207e-03	3.687184e-01
109	FOXA1	forkhead box A1	1423	3	0	3	29	0	0	9	38	30	31	1.565758e-03	5.100000e-02	9.600000e-01	2.171314e-03	3.704454e-01
110	GLDC	glycine dehydrogenase (decarboxylating)	3159	2	0	0	8	1	1	1	11	11	11	2.353067e-04	1	6.660000e-01	2.201205e-03	3.704454e-01
111	DCST1	DC-STAMP domain containing 1	2915	0	0	0	6	2	0	0	8	8	7	1.283062e-02	6.640000e-02	1.070000e-01	2.207693e-03	3.704454e-01
112	NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	400	205	0	0	5	0	0	1	6	6	6	5.788667e-03	3.900000e-02	2.170000e-01	2.218145e-03	3.704454e-01
113	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	936	44	0	0	3	0	0	0	3	3	1	2.376334e-01	1.000000e-03	8.124500e-01	2.220632e-03	3.704454e-01
114	FABP1	fatty acid binding protein 1, liver	400	3	0	1	3	1	0	0	4	4	3	4.612074e-02	5.350000e-02	1.800000e-02	2.238934e-03	3.704454e-01
115	CCDC135	coiled-coil domain containing 135	2693	8	0	2	8	3	1	0	12	12	12	2.474902e-04	1	8.870000e-01	2.302684e-03	3.776802e-01
116	BYSL	bystin-like	1350	1	0	0	2	0	2	0	4	4	4	2.541837e-04	1	2.600000e-01	2.358177e-03	3.834478e-01
117	OR4D10	olfactory receptor, family 4, subfamily D, member 10	936	7	0	1	8	1	0	1	10	9	10	4.780503e-04	1	4.740000e-01	2.473704e-03	3.987948e-01
118	ZFHX3	zinc finger homeobox 3	11148	12	1	5	17	7	0	5	29	27	29	4.837184e-04	1	4.010000e-01	2.515718e-03	4.021311e-01
119	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1601	37	1	0	4	0	1	4	9	9	8	2.191277e-03	1.120000e-01	6.320000e-01	2.538677e-03	4.023910e-01
120	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	1006	5	0	0	3	0	0	0	3	3	1	2.804338e-01	1.000000e-03	9.305000e-01	2.574150e-03	4.046135e-01
121	TH	tyrosine hydroxylase	1641	8	0	1	6	0	0	0	6	6	4	4.006890e-01	1.760000e-02	1.275000e-03	2.656301e-03	4.110771e-01
122	ZC3H4	zinc finger CCCH-type containing 4	3968	0	0	0	0	2	0	2	4	4	4	2.908137e-04	1	5.990000e-01	2.658860e-03	4.110771e-01
123	GRB10	growth factor receptor-bound protein 10	1847	0	0	1	5	1	1	0	7	7	6	9.952753e-01	2.708000e-02	3.480000e-03	2.882931e-03	4.420962e-01
124	ZNF195	zinc finger protein 195	1910	3	0	2	7	0	0	0	7	7	5	8.836543e-01	1.500000e-04	9.945200e-01	3.021771e-03	4.596504e-01
125	KRTAP5-1	keratin associated protein 5-1	841	3	0	0	0	0	0	2	2	2	2	1.509521e-03	1	2.260000e-01	3.076676e-03	4.608614e-01
126	PKN2	protein kinase N2	3039	9	0	0	10	1	0	0	11	11	10	1.714512e-02	1.150000e-01	1.530000e-01	3.078599e-03	4.608614e-01
127	JMJD6	jumonji domain containing 6	1340	2	0	0	5	0	0	0	5	5	4	4.683179e-02	2.830000e-02	2.137000e-01	3.145005e-03	4.670951e-01
128	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	2213	1	0	0	5	3	0	1	9	9	9	3.565642e-04	1	4.580000e-01	3.187326e-03	4.696824e-01
129	APLF	aprataxin and PNKP like factor	1809	2	0	0	3	0	1	0	4	4	3	3.913814e-01	1.053333e-02	4.823333e-02	3.256488e-03	4.761542e-01
130	MED23	mediator complex subunit 23	5178	0	0	3	16	4	0	3	23	23	21	2.528520e-02	2.800000e-02	1.690000e-01	3.366942e-03	4.885174e-01
131	TMEM120B	transmembrane protein 120B	1458	4	0	1	2	0	1	0	3	3	3	6.546336e-03	1	2.800000e-02	3.421672e-03	4.926685e-01
132	NKX3-2	NK3 homeobox 2	1008	0	0	1	2	0	1	1	4	4	4	2.957716e-03	1	3.100000e-02	3.524076e-03	5.035690e-01
133	OSBPL8	oxysterol binding protein-like 8	2762	10	0	1	6	0	3	0	9	9	9	5.430862e-03	1	1.290000e-02	3.671424e-03	5.206797e-01
134	TRIP11	thyroid hormone receptor interactor 11	6020	21	1	2	13	0	1	1	15	15	14	3.263779e-02	1.359000e-01	1.580000e-02	3.718951e-03	5.234840e-01
135	UBAP2	ubiquitin associated protein 2	3472	2	0	0	8	1	0	2	11	11	11	4.403248e-04	1	5.210000e-01	3.843154e-03	5.359473e-01
136	FAM166B	family with sequence similarity 166, member B	673	9	0	1	5	0	0	0	5	5	5	2.786572e-03	1	8.100000e-02	3.864322e-03	5.359473e-01
137	KIAA0467	KIAA0467	8103	0	0	1	8	2	2	1	13	13	13	1.991599e-03	1	1.710000e-01	3.964601e-03	5.458417e-01
138	PODXL2	podocalyxin-like 2	1848	2	0	1	6	0	2	1	9	9	9	7.255757e-03	1	1.500000e-02	4.017179e-03	5.490727e-01
139	KIAA0355	KIAA0355	3261	3	0	0	1	2	1	0	4	4	4	4.765036e-04	1	8.920000e-01	4.121297e-03	5.555337e-01
140	TSSK3	testis-specific serine kinase 3	813	9	0	1	4	0	2	0	6	6	6	4.767727e-04	1	8.900000e-01	4.123354e-03	5.555337e-01
141	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	1561	4	0	2	3	2	2	1	8	8	8	1.686909e-03	1	2.320000e-01	4.205410e-03	5.625705e-01
142	FKBP4	FK506 binding protein 4, 59kDa	1416	7	0	0	2	0	1	1	4	4	4	2.086655e-03	1	1.620000e-01	4.290648e-03	5.674235e-01
143	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	2782	50	1	3	11	0	0	0	11	10	9	2.778803e-01	1.400000e-03	8.918000e-01	4.301854e-03	5.674235e-01
144	GPRIN1	G protein regulated inducer of neurite outgrowth 1	3031	0	0	0	3	0	0	2	5	5	4	4.698923e-02	1.590000e-02	4.906000e-01	4.428485e-03	5.800700e-01
145	IBSP	integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)	978	64	0	0	5	1	0	0	6	6	6	1.888757e-02	1.390000e-01	6.300000e-02	4.661104e-03	6.036713e-01
146	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	2819	6	0	1	6	2	2	0	10	10	10	5.507682e-04	1	5.900000e-01	4.683841e-03	6.036713e-01
147	STAG2	stromal antigen 2	3939	4	1	1	13	4	1	1	19	19	19	7.999221e-04	1	4.280000e-01	4.704680e-03	6.036713e-01
148	NUP153	nucleoporin 153kDa	4512	12	1	3	14	0	0	3	17	16	15	7.342807e-02	5.200000e-03	2.805000e-01	4.738462e-03	6.038978e-01
149	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	1064	9	0	1	2	1	2	0	5	5	5	1.208448e-02	7.200000e-02	3.120000e-01	5.082471e-03	6.433931e-01
150	COL2A1	collagen, type II, alpha 1	4676	5	0	3	5	0	3	1	9	9	8	1.655632e-02	3.700000e-02	3.100000e-01	5.144371e-03	6.468876e-01
151	SMAD4	SMAD family member 4	1700	11	1	0	6	3	2	1	12	12	12	1.133091e-03	1	3.360000e-01	5.298002e-03	6.600030e-01
152	ATAD2B	ATPase family, AAA domain containing 2B	4485	34	1	2	13	3	0	1	17	17	17	4.172513e-03	1	6.400000e-02	5.365460e-03	6.600030e-01
153	SF3B4	splicing factor 3b, subunit 4, 49kDa	1951	0	0	0	3	0	0	2	5	5	4	2.012561e-02	3.200000e-02	9.930000e-01	5.376135e-03	6.600030e-01
154	FMO5	flavin containing monooxygenase 5	1775	2	0	0	3	0	0	0	3	3	2	6.153510e-01	5.100000e-03	1.421500e-01	5.391554e-03	6.600030e-01
155	EIF2C1	eukaryotic translation initiation factor 2C, 1	2646	14	0	3	6	0	1	0	7	7	6	2.735828e-02	1.160000e-01	4.000000e-02	5.468441e-03	6.600030e-01
156	SNAPC1	small nuclear RNA activating complex, polypeptide 1, 43kDa	1144	1	0	0	3	0	2	2	7	7	7	6.604865e-04	1	9.270000e-01	5.496921e-03	6.600030e-01
157	PALB2	partner and localizer of BRCA2	3729	3	0	4	15	4	1	2	22	22	22	3.610267e-02	1	6.900000e-03	5.524755e-03	6.600030e-01
158	COL4A2	collagen, type IV, alpha 2	5327	1	0	1	6	0	1	0	7	7	7	2.032798e-01	1.990000e-02	7.040000e-02	5.572534e-03	6.600030e-01
159	ICOSLG	inducible T-cell co-stimulator ligand	933	45	0	0	4	1	0	0	5	5	4	9.593945e-03	5.700000e-02	4.420000e-01	5.578033e-03	6.600030e-01
160	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	5187	0	0	1	6	0	2	2	10	10	10	2.417168e-03	1	2.530000e-01	5.598583e-03	6.600030e-01
