rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
35	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	2254	37	0	0	2	1	0	2	5	5	5	2.535343e-03	1	8.100000e-02	2.582240e-03	1
36	NOD2	nucleotide-binding oligomerization domain containing 2	3167	4	0	0	1	1	0	0	2	2	2	1.564701e-02	1	1.600000e-02	2.584064e-03	1
37	GP2	glycoprotein 2 (zymogen granule membrane)	1658	10	0	0	1	0	2	0	3	3	3	2.877161e-03	NaN	NaN	2.877161e-03	1
38	ZNF500	zinc finger protein 500	1463	19	0	0	3	0	0	0	3	3	3	8.168442e-03	1	1.600000e-02	2.883584e-03	1
39	STK10	serine/threonine kinase 10	2979	25	0	1	7	0	1	0	8	8	8	3.303432e-04	1	6.210000e-01	2.978169e-03	1
40	CTCF	CCCTC-binding factor (zinc finger protein)	2224	33	1	1	1	1	0	2	4	4	4	8.834190e-04	1	2.920000e-01	3.035185e-03	1
41	CHRNB2	cholinergic receptor, nicotinic, beta 2 (neuronal)	1529	84	0	0	5	0	0	0	5	5	5	4.980044e-03	6.900000e-02	6.260000e-01	3.203190e-03	1
42	TMPRSS13	transmembrane protease, serine 13	1754	3	0	1	3	0	0	0	3	3	1	3.753510e-01	1.000000e-03	9.682300e-01	3.335988e-03	1
43	FAM166B	family with sequence similarity 166, member B	673	9	0	0	1	1	0	0	2	2	2	3.450891e-03	NaN	NaN	3.450891e-03	1
44	GALNTL5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5	1365	11	0	0	2	2	0	0	4	4	4	4.111471e-04	1	9.560000e-01	3.616680e-03	1
45	NPAS4	neuronal PAS domain protein 4	2437	13	0	0	2	1	0	1	4	4	4	4.818824e-03	1	6.900000e-02	3.642176e-03	1
46	WBSCR27	Williams Beuren syndrome chromosome region 27	758	88	0	0	5	0	0	0	5	5	5	4.382102e-04	1	6.630000e-01	3.826808e-03	1
47	STAG2	stromal antigen 2	3939	6	0	0	0	2	1	0	3	3	3	1.066718e-03	1	3.180000e-01	3.886114e-03	1
48	ZMIZ1	zinc finger, MIZ-type containing 1	3288	2	0	0	5	0	2	0	7	7	7	2.929809e-03	1	5.000000e-02	3.904412e-03	1
49	FANCG	Fanconi anemia, complementation group G	1921	17	0	0	1	1	1	0	3	3	3	5.293878e-04	1	9.620000e-01	4.522978e-03	1
50	ARHGAP5	Rho GTPase activating protein 5	4529	7	1	0	4	1	0	2	7	6	7	1.030424e-02	1	4.400000e-02	4.726293e-03	1
51	WDR62	WD repeat domain 62	4700	0	0	0	1	0	0	2	3	3	3	2.700770e-02	1	1.380000e-02	4.887269e-03	1
52	USP8	ubiquitin specific peptidase 8	3433	73	0	1	1	0	0	2	3	3	2	2.163148e-01	2.500000e-03	4.005000e-01	5.093270e-03	1
53	GRPEL2	GrpE-like 2, mitochondrial (E. coli)	690	86	0	0	2	0	0	2	4	4	4	3.481666e-03	1	1.340000e-01	5.145773e-03	1
54	NDRG1	N-myc downstream regulated gene 1	1245	8	0	1	2	1	1	0	4	4	4	1.602178e-03	1	3.380000e-01	5.270433e-03	1
55	LARP4B	La ribonucleoprotein domain family, member 4B	2283	51	0	1	1	1	1	2	5	5	5	6.503607e-04	1	8.310000e-01	5.422697e-03	1
56	GOLGA3	golgi autoantigen, golgin subfamily a, 3	4721	10	0	1	2	2	0	0	4	4	3	1.676479e-02	3.400000e-02	5.220000e-01	5.693137e-03	1
57	RDH5	retinol dehydrogenase 5 (11-cis/9-cis)	1222	38	0	1	2	0	0	1	3	3	3	2.636338e-02	1	1.800000e-02	5.870805e-03	1
58	TRIM14	tripartite motif-containing 14	1781	38	0	1	2	1	0	0	3	3	3	4.647975e-02	1	5.200000e-03	5.966879e-03	1
59	USP9X	ubiquitin specific peptidase 9, X-linked	7885	4	0	0	3	0	2	1	6	6	6	7.252778e-04	1	8.200000e-01	5.968279e-03	1
60	CEACAM3	carcinoembryonic antigen-related cell adhesion molecule 3	785	34	0	0	2	0	0	0	2	2	1	3.372207e-02	2.200000e-02	9.240000e-01	6.088147e-03	1
61	KDM6A	lysine (K)-specific demethylase 6A	4318	8	0	0	0	1	1	1	3	3	3	2.033570e-03	1	3.590000e-01	6.251650e-03	1
62	PDLIM4	PDZ and LIM domain 4	1019	4	0	0	1	0	1	0	2	2	2	6.340628e-03	NaN	NaN	6.340628e-03	1
63	SPPL3	signal peptide peptidase like 3	1195	46	0	0	3	0	1	0	4	4	4	3.339214e-03	1	1.360000e-01	6.586137e-03	1
64	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	2651	0	0	0	3	0	2	0	5	5	5	6.732209e-03	1	5.700000e-02	6.608679e-03	1
65	GPR97	G protein-coupled receptor 97	1695	7	0	0	3	0	0	1	4	4	4	8.457228e-04	1	4.380000e-01	6.829481e-03	1
66	SIN3B	SIN3 homolog B, transcription regulator (yeast)	3567	7	0	0	2	0	0	2	4	4	4	1.620946e-02	1	3.300000e-02	6.924036e-03	1
67	PRB4	proline-rich protein BstNI subfamily 4	758	23	0	0	3	0	0	0	3	3	3	2.914167e-03	1	2.510000e-01	7.092369e-03	1
68	ADAM30	ADAM metallopeptidase domain 30	2373	12	0	0	5	0	0	0	5	5	5	9.070408e-04	1	6.750000e-01	7.261155e-03	1
69	TSKS	testis-specific serine kinase substrate	1823	7	0	0	3	0	0	0	3	3	2	2.526471e-02	3.600000e-02	1	7.278585e-03	1
70	RBM47	RNA binding motif protein 47	1798	17	0	0	5	1	0	0	6	6	6	5.152004e-03	1	1.230000e-01	7.331264e-03	1
71	NPEPPS	aminopeptidase puromycin sensitive	2848	28	0	0	3	0	0	0	3	3	2	9.245446e-02	1.020000e-02	3.132000e-01	7.512604e-03	1
72	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	14968	11	0	1	9	2	0	1	12	12	12	2.360956e-02	1	1.600000e-02	7.521986e-03	1
73	SMTNL1	smoothelin-like 1	1567	20	0	0	4	2	0	0	6	6	6	9.717072e-04	1	7.830000e-01	7.711911e-03	1
74	NAGK	N-acetylglucosamine kinase	1209	19	0	1	1	0	1	0	2	2	2	8.095301e-03	NaN	NaN	8.095301e-03	1
75	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))	3619	23	0	1	5	0	1	0	6	6	6	3.099971e-03	1	3.000000e-01	8.279273e-03	1
76	SCAPER	S phase cyclin A-associated protein in the ER	4361	6	0	0	0	0	2	0	2	2	2	8.500820e-03	NaN	NaN	8.500820e-03	1
77	TRPV5	transient receptor potential cation channel, subfamily V, member 5	2248	37	0	1	3	0	0	0	3	3	3	4.543578e-01	2.200000e-03	6.625000e-01	8.528648e-03	1
78	SERPINA4	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4	1300	5	0	0	1	1	0	0	2	2	2	1.111876e-01	1	1.000000e-02	8.674532e-03	1
79	C16orf7	chromosome 16 open reading frame 7	2147	2	0	0	1	1	1	0	3	3	3	5.302044e-02	1	1.500000e-02	8.685094e-03	1
80	KNG1	kininogen 1	2054	31	0	1	3	0	0	1	4	4	4	4.585133e-02	1	5.400000e-03	8.783697e-03	1
81	STAT1	signal transducer and activator of transcription 1, 91kDa	2346	3	0	0	0	1	0	1	2	2	2	5.701912e-03	1	1.670000e-01	8.829408e-03	1
82	FANK1	fibronectin type III and ankyrin repeat domains 1	1078	22	0	0	4	0	0	0	4	4	3	5.446648e-02	1.700000e-02	7.620000e-01	8.891188e-03	1
83	LOR	loricrin	943	1	0	0	0	0	0	2	2	2	2	1.154757e-03	1	8.120000e-01	8.965378e-03	1
84	TNRC6A	trinucleotide repeat containing 6A	5985	0	0	0	2	2	1	1	6	6	6	1.158158e-03	1	9.480000e-01	8.988379e-03	1
85	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	3165	12	0	0	5	0	1	0	6	6	6	1.338399e-02	1	7.700000e-02	9.211139e-03	1
86	SETDB1	SET domain, bifurcated 1	3960	16	1	1	5	0	0	0	5	5	5	2.748442e-01	8.300000e-03	4.480000e-02	9.517450e-03	1
87	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	6126	42	0	2	9	0	0	0	9	9	8	1.658699e-02	1.140000e-01	3.890000e-01	9.565805e-03	1
88	CALB2	calbindin 2, 29kDa (calretinin)	858	18	0	0	3	0	0	1	4	4	4	4.094420e-03	1	2.210000e-01	9.570350e-03	1
89	CRYBA1	crystallin, beta A1	671	79	0	0	1	2	0	0	3	3	3	1.249657e-03	1	8.400000e-01	9.603474e-03	1
90	FLII	flightless I homolog (Drosophila)	3928	13	0	0	2	1	1	0	4	4	4	1.288424e-03	1	4.010000e-01	9.862032e-03	1
91	CYHR1	cysteine/histidine-rich 1	1508	13	0	0	3	0	0	0	3	3	3	1.676701e-01	1	4.200000e-03	1.010221e-02	1
92	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	5691	0	0	0	4	1	0	1	6	6	6	3.574243e-02	1	2.700000e-02	1.032457e-02	1
93	COL6A6	collagen, type VI, alpha 6	6934	14	0	3	10	1	2	0	13	13	13	1.367907e-03	1	9.300000e-01	1.038854e-02	1
94	TRAPPC10	trafficking protein particle complex 10	3868	13	0	0	1	1	0	0	2	2	2	1.857634e-02	1	7.100000e-02	1.043298e-02	1
95	TMED6	transmembrane emp24 protein transport domain containing 6	737	37	0	0	1	1	0	1	3	3	3	1.376503e-03	1	7.680000e-01	1.044519e-02	1
96	SLAMF9	SLAM family member 9	883	80	0	0	5	0	0	0	5	5	5	2.561550e-03	1	4.930000e-01	1.072517e-02	1
97	TFIP11	tuftelin interacting protein 11	2566	4	0	0	2	1	0	0	3	3	3	2.318168e-02	1	4.100000e-02	1.084418e-02	1
98	ATP11A	ATPase, class VI, type 11A	3774	4	0	0	2	0	1	0	3	3	3	3.418890e-02	1	3.700000e-02	1.105886e-02	1
99	ASTN1	astrotactin 1	3977	8	2	3	7	0	0	0	7	7	6	8.703318e-01	3.720000e-02	1.960000e-02	1.112042e-02	1
100	CCNE2	cyclin E2	1266	17	0	0	0	1	0	0	1	1	1	1.119014e-02	NaN	NaN	1.119014e-02	1
101	LAMP1	lysosomal-associated membrane protein 1	1286	95	0	0	3	0	0	0	3	3	3	2.974202e-02	1	4.400000e-02	1.174783e-02	1
102	ASCC2	activating signal cointegrator 1 complex subunit 2	2350	37	0	1	2	1	0	0	3	3	3	1.267152e-02	1	3.300000e-02	1.179693e-02	1
103	C6orf167	chromosome 6 open reading frame 167	3828	15	0	1	2	0	0	2	4	4	3	1.961273e-01	6.200000e-03	7.311000e-01	1.182717e-02	1
104	ZNF341	zinc finger protein 341	2602	2	0	0	0	0	0	1	1	1	1	1.195929e-02	NaN	NaN	1.195929e-02	1
105	KIAA0831	KIAA0831	1552	13	0	0	0	0	1	0	1	1	1	1.271378e-02	NaN	NaN	1.271378e-02	1
106	MFSD3	major facilitator superfamily domain containing 3	1281	92	0	1	3	0	0	0	3	3	3	2.878808e-02	1	4.500000e-02	1.271490e-02	1
107	ADK	adenosine kinase	1147	9	0	0	0	1	0	0	1	1	1	1.283374e-02	NaN	NaN	1.283374e-02	1
108	PRB3	proline-rich protein BstNI subfamily 3	948	23	0	0	1	1	0	0	2	2	2	9.559247e-03	1	1.610000e-01	1.285507e-02	1
109	ZNF311	zinc finger protein 311	2021	4	0	0	1	0	1	0	2	2	2	1.303212e-02	NaN	NaN	1.303212e-02	1
110	SH3TC1	SH3 domain and tetratricopeptide repeats 1	4079	1	0	0	2	0	1	0	3	3	3	1.030911e-02	1	1.050000e-01	1.313666e-02	1
111	COL24A1	collagen, type XXIV, alpha 1	5383	0	0	0	3	0	0	0	3	3	3	6.187176e-01	2.300000e-03	7.851000e-01	1.313979e-02	1
112	DSC3	desmocollin 3	2784	2	0	0	0	1	1	0	2	2	2	1.317519e-02	NaN	NaN	1.317519e-02	1
113	FAM65B	family with sequence similarity 65, member B	3305	14	0	0	6	0	0	0	6	6	6	1.805560e-03	1	6.970000e-01	1.321108e-02	1
114	SP140	SP140 nuclear body protein	2823	7	0	0	1	1	1	0	3	3	3	2.876653e-02	1	5.000000e-02	1.325358e-02	1
115	G6PD	glucose-6-phosphate dehydrogenase	1701	18	0	0	1	2	0	0	3	3	3	1.033768e-02	1	1.360000e-01	1.342897e-02	1
116	AKT1	v-akt murine thymoma viral oncogene homolog 1	1495	20	0	0	2	0	0	0	2	2	1	1.851768e-01	1.400000e-02	3.710000e-02	1.350238e-02	1
117	SESN2	sestrin 2	1479	9	0	0	0	1	0	0	1	1	1	1.356716e-02	NaN	NaN	1.356716e-02	1
118	IP6K3	inositol hexakisphosphate kinase 3	1249	9	0	0	3	0	1	0	4	4	4	3.680774e-03	1	4.450000e-01	1.361595e-02	1
119	OR4X2	olfactory receptor, family 4, subfamily X, member 2	912	22	0	0	4	0	0	1	5	5	4	6.240956e-03	4.350000e-01	3.880000e-01	1.370971e-02	1
120	EPS8L3	EPS8-like 3	1857	41	0	0	3	0	0	1	4	4	4	2.233038e-02	1	5.200000e-02	1.407256e-02	1
121	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1474	10	0	0	3	0	0	0	3	3	3	3.511021e-03	1	4.350000e-01	1.410922e-02	1
122	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	4364	17	1	0	2	0	0	1	3	3	3	4.653387e-01	1	2.200000e-03	1.443516e-02	1
123	COPG	coatomer protein complex, subunit gamma	2719	13	0	2	3	0	2	0	5	5	5	9.035921e-03	1	1.760000e-01	1.469052e-02	1
124	FILIP1L	filamin A interacting protein 1-like	3449	0	0	0	0	0	1	0	1	1	1	1.478261e-02	NaN	NaN	1.478261e-02	1
125	TFPI2	tissue factor pathway inhibitor 2	726	32	0	0	2	0	0	0	2	2	2	1.104747e-01	1	1.000000e-02	1.483754e-02	1
126	ZNF710	zinc finger protein 710	2011	2	0	0	1	0	0	1	2	2	2	8.633895e-02	1	2.100000e-02	1.487622e-02	1
127	ZNF251	zinc finger protein 251	2032	24	0	0	2	0	0	1	3	3	3	4.818175e-02	1	3.800000e-02	1.517142e-02	1
128	TCHHL1	trichohyalin-like 1	2723	41	0	1	5	0	0	0	5	5	5	5.213919e-02	1	2.300000e-02	1.528038e-02	1
129	APC	adenomatous polyposis coli	8592	1	0	0	4	2	1	0	7	7	7	4.966371e-03	1	4.030000e-01	1.532810e-02	1
130	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	4763	10	0	0	6	0	0	0	6	6	6	2.149485e-03	1	9.360000e-01	1.535276e-02	1
131	IFT172	intraflagellar transport 172 homolog (Chlamydomonas)	5512	1	0	0	0	0	1	1	2	2	2	1.542072e-02	NaN	NaN	1.542072e-02	1
132	CCNDBP1	cyclin D-type binding-protein 1	1374	13	0	0	1	0	1	0	2	2	2	1.563062e-02	NaN	NaN	1.563062e-02	1
133	ANKRD11	ankyrin repeat domain 11	8036	0	2	0	10	0	1	3	14	11	13	4.507838e-02	3.600000e-02	3.300000e-01	1.571654e-02	1
134	BATF	basic leucine zipper transcription factor, ATF-like	386	10	0	0	2	0	0	0	2	2	2	6.983322e-03	1	2.930000e-01	1.600207e-02	1
135	PRUNE	prune homolog (Drosophila)	1392	14	0	1	3	0	0	0	3	3	3	7.089714e-02	1	1.500000e-02	1.608184e-02	1
136	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	3580	1	0	0	2	1	1	0	4	4	4	1.159529e-02	1	1.040000e-01	1.610600e-02	1
137	NASP	nuclear autoantigenic sperm protein (histone-binding)	2502	14	0	0	2	0	2	0	4	4	4	1.109479e-02	1	1.770000e-01	1.652085e-02	1
138	TMEM14B	transmembrane protein 14B	365	39	0	0	0	1	0	0	1	1	1	1.653288e-02	NaN	NaN	1.653288e-02	1
139	EPAS1	endothelial PAS domain protein 1	2673	15	1	0	4	0	0	0	4	4	4	1.080589e-01	1	1.700000e-02	1.674042e-02	1
140	AANAT	arylalkylamine N-acetyltransferase	771	3	0	0	0	1	0	0	1	1	1	1.764770e-02	NaN	NaN	1.764770e-02	1
141	DNAL1	dynein, axonemal, light chain 1	601	6	0	0	1	0	0	2	3	3	3	6.644103e-03	1	2.190000e-01	1.770633e-02	1
142	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	304	18	0	0	1	0	0	0	1	1	1	1.778281e-02	NaN	NaN	1.778281e-02	1
143	DDB1	damage-specific DNA binding protein 1, 127kDa	3529	2	0	1	4	1	0	1	6	6	5	1.249016e-01	2.040000e-02	3.917000e-01	1.784031e-02	1
144	LEF1	lymphoid enhancer-binding factor 1	1337	18	0	0	3	0	0	0	3	3	3	1.645878e-02	1	1.030000e-01	1.807873e-02	1
145	ARHGAP24	Rho GTPase activating protein 24	2397	83	0	1	3	0	1	0	4	4	4	6.574723e-02	1	1.470000e-02	1.852659e-02	1
146	KLC3	kinesin light chain 3	1565	80	0	1	3	0	0	0	3	3	3	6.151518e-02	1	1.550000e-02	1.856300e-02	1
147	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	2	1	0	2	1	1	2	6	6	6	1.972617e-02	1	1.150000e-01	1.856714e-02	1
148	GPR119	G protein-coupled receptor 119	1012	4	0	1	2	0	0	0	2	2	2	8.955807e-02	1	1.700000e-02	1.859071e-02	1
149	CXorf23	chromosome X open reading frame 23	2089	0	0	2	2	0	1	1	4	4	4	8.184180e-02	1	1.500000e-02	1.867377e-02	1
150	SLC1A7	solute carrier family 1 (glutamate transporter), member 7	1723	45	0	0	4	0	1	0	5	5	5	2.715259e-03	1	9.990000e-01	1.875937e-02	1
151	E2F7	E2F transcription factor 7	2782	0	0	0	0	0	1	0	1	1	1	1.902174e-02	NaN	NaN	1.902174e-02	1
152	AKIRIN1	akirin 1	595	220	0	0	1	1	0	0	2	2	1	1.076271e-01	2.600000e-02	2.980000e-01	1.924882e-02	1
153	RASIP1	Ras interacting protein 1	2958	18	0	0	1	0	1	1	3	3	3	9.200616e-03	1	1.980000e-01	1.929515e-02	1
154	SCG3	secretogranin III	1451	29	1	0	3	0	0	1	4	4	4	2.815035e-03	1	8.640000e-01	1.934712e-02	1
155	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	2867	1	0	0	1	0	1	0	2	2	2	1.947385e-02	NaN	NaN	1.947385e-02	1
156	FYB	FYN binding protein (FYB-120/130)	2562	7	0	0	6	1	0	0	7	7	7	1.169616e-02	1	1.970000e-01	1.950632e-02	1
157	ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	1951	13	0	1	3	0	1	0	4	4	4	2.899041e-03	1	7.110000e-01	1.983922e-02	1
158	PPYR1	pancreatic polypeptide receptor 1	1132	4	0	1	4	0	0	1	5	5	5	2.924904e-03	1	9.360000e-01	1.999024e-02	1
159	C16orf62	chromosome 16 open reading frame 62	3014	40	3	0	4	1	1	0	6	6	6	2.962000e-03	1	9.400000e-01	2.020644e-02	1
160	ZNF764	zinc finger protein 764	1235	108	0	0	4	0	0	0	4	4	4	4.018483e-02	1	2.900000e-02	2.050793e-02	1
161	HERC1	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	14894	3	0	0	11	0	2	1	14	12	14	1.968609e-02	1	8.300000e-02	2.072526e-02	1
162	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	659	7	0	0	3	0	1	0	4	4	4	3.078810e-03	1	1.220000e-01	2.088422e-02	1
163	HAUS8	HAUS augmin-like complex, subunit 8	1274	42	1	0	2	0	0	0	2	2	2	2.314142e-01	1	1.130000e-02	2.101218e-02	1
164	HCRT	hypocretin (orexin) neuropeptide precursor	404	1	0	0	0	0	0	1	1	1	1	2.109474e-02	NaN	NaN	2.109474e-02	1
165	TMEM214	transmembrane protein 214	2134	0	0	0	2	0	1	0	3	3	3	1.067596e-01	1	4.300000e-03	2.110704e-02	1
166	UBE3B	ubiquitin protein ligase E3B	3311	0	0	0	0	1	1	0	2	2	2	2.115226e-02	NaN	NaN	2.115226e-02	1
167	TRIML2	tripartite motif family-like 2	1192	15	1	0	1	0	2	0	3	3	3	8.152986e-03	1	3.640000e-01	2.123115e-02	1
168	RPL18A	ribosomal protein L18a	551	41	0	0	3	0	0	1	4	4	4	3.146292e-03	1	6.100000e-01	2.127375e-02	1
169	FKBP2	FK506 binding protein 2, 13kDa	450	87	0	0	2	0	1	0	3	3	3	3.151016e-03	1	9.440000e-01	2.130096e-02	1
170	BCL9	B-cell CLL/lymphoma 9	4305	18	1	1	5	1	0	3	9	9	9	3.165519e-03	1	8.530000e-01	2.138447e-02	1
171	PTPRJ	protein tyrosine phosphatase, receptor type, J	4117	8	0	1	4	0	0	0	4	4	4	3.821639e-01	1	5.400000e-03	2.142154e-02	1
172	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	2885	4	0	0	3	1	0	1	5	5	5	3.233215e-03	1	8.990000e-01	2.177337e-02	1
173	ETV3L	ets variant gene 3-like	1102	12	0	0	1	1	0	0	2	2	2	2.213589e-02	1	1.270000e-01	2.189235e-02	1
174	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	544	0	0	0	0	0	0	1	1	1	1	2.220459e-02	NaN	NaN	2.220459e-02	1
175	AIG1	androgen-induced 1	739	9	0	0	1	1	0	0	2	2	2	3.356166e-03	1	4.680000e-01	2.247610e-02	1
176	TECR	trans-2,3-enoyl-CoA reductase	976	43	0	0	1	0	1	0	2	2	2	2.283550e-02	NaN	NaN	2.283550e-02	1
177	CCDC53	coiled-coil domain containing 53	540	69	0	0	1	0	1	0	2	2	2	2.298047e-02	NaN	NaN	2.298047e-02	1
